caption,n_likes_1000,n_comments,event,fac,gpe,law,loc,money,norp,org,person,product,work_of_art,personal_quote,quote
We stand against racism as one team. You can play your part by sharing helpful resources and info so we can all support each other. #STOPASIANHATE,69k,1235,0,0,0,0,0,0,0,0,0,0,0,0,0
"“adidas and Fear of God share the same dream for the future of basketball, on and beyond the court, and we look forward to changing the face of the industry through a new model that will unfold before us in the coming years.” - @JerryLorenzo, creative visionary, designer, owner and founder of Fear of God⁣
⁣
Welcome to the family, Jerry.",103k,1804,0,0,0,0,0,0,0,0,1,0,0,0,0
"“It means the ability to make a difference and change the lives of so many young people.” - Coach Maisha​ ​ Legacy is a program that helps us break barriers in sport and education in underrepresented communities. There are 27 schools already in the program, but @adidasHoops is just getting started.​ ​ We’re committing $1M to the Legacy Fund Scholarship as part of a larger $2.5M commitment to create scholarships for Black and LatinX youth in the next four years. We will partner with the United Negro College Fund to manage scholarships through 2024.​ ​ To learn more about the Legacy program, head to adidas.com/Legacy",46k,435,0,0,0,0,1,1,0,2,2,0,0,0,0
"“It’s our job as athletes to create a safe environment, not just for ourselves but also for people around us.” - Vivianne Miedema (@viviannemiedema)⁣⁣
 ⁣⁣
That’s why this past week, athletes tapped into the power of their platforms by wearing a pair of #RainbowLaces (swipe 👉) to celebrate the impact and belonging of the LGBTQ+ community in sport.⁣⁣
 ⁣⁣
It’s our collective responsibility, as individuals and organizations, to make sport inclusive – and with @StonewallUK, we continue to take that step together.⁣
⁣
#adidasFootballCollective",87k,639,0,0,0,0,0,1,0,0,1,0,0,0,0
"&quot;Its hard trying to fight the system when you have all of these boundaries. You have to fight through so many elements to find out who you are.&quot;⁣
 ⁣
Derrick Rose (@drose) talks about growing up in Chicago, his career, and how hes learned to be open in order to understand others.⁣
 ⁣
Watch the latest episode of #ReadyForChange now on @adidasHoops.",90k,1894,0,0,2,0,0,0,0,0,2,0,0,0,0
"As part of the Change stage of Creators Club Week, Parley for the Oceans (@parley.tv) Founder and CEO Cyrill Gutsch talks about solutions to plastic pollution and how a new mindset can help turn something negative into something positive.

Access exclusive talks, products, rewards and more with creators club at adidas.com/creatorsclub",31k,593,0,0,0,0,0,0,0,3,0,0,0,0,0
"As part of the Innovate stage of Creators Club Week, @Carbon co-founder Philip DeSimone tells us about the potential of cutting edge #ADIDAS4D technology in the near future.
 
Access exclusive talks, products, rewards and more with creators club at adidas.com/creatorsclub",26k,266,0,0,0,0,0,0,0,2,1,0,0,0,0
"“I don’t want to be just known as a great soccer player. I want to be known as a great human being, as a great person.”⁣⁣⁣
⁣⁣⁣
@juventus midfielder Weston McKennie (@west.mckennie) shares the importance of building a legacy beyond the pitch in the newest episode of #ReadyForChange.⁣⁣⁣
⁣⁣
Watch now on @adidasfootball 
Photo by @cdiazmiami",57k,313,0,0,0,0,0,0,0,3,1,0,0,0,1
"There is no off-season for change. ⁣
⁣
#ReadyForChange",33k,296,0,0,0,0,0,0,0,0,0,0,0,0,0
"“Every time I pull on a jersey, I play for so much more than myself.”⁣
⁣
Sport turned Siya Kolisi’s (@siya_kolisi_the_bear) life around. Head to @adidasZA to see how he’s using his platform to change lives on and off the field.⁣
⁣
#ReadyForSport",69k,240,0,0,2,0,0,0,0,0,0,0,0,0,1
"FUTURECRAFT.STRUNG⁣
Coded thread by thread for speed.⁣⁣
⁣⁣
Imagine a shoe thats so synced to you, you almost cant feel it. STRUNG is first-of-its-kind textile creation tech made for just that. Our first proof of concept is FUTURECRAFT.STRUNG, made in partnership with @kram_weisshaar. 
⁣⁣
Every single thread of the shoe is individually selected and data-mapped for runners hitting 5m/sec. The result is a seamless, lightweight cocoon precisely tuned to how you really move. 

Read more now at adidas.com/futurecraft/strung #FUTURECRAFT",128k,1207,0,0,0,0,0,0,0,1,0,0,0,0,0
"#FUTURECRAFT sets us on a journey to do things that haven’t been done before. Solving problems by hacking, prototyping, breaking, questioning. Wide open to new influences, perspectives, collaborations. Combining ideas and innovations to create real impact for the athlete. ​⁣
⁣
Everything #FUTURECRAFT we put out is to show where we are headed, the possibilities, the opportunity. This is our journey from where we are to what could be.",53k,342,0,0,1,0,0,0,0,0,0,0,0,0,0
"&quot;My purpose, it was never about just making it to the NHL. It was about giving kids who look like me an opportunity to ⁣see someone who looked like them play hockey and be successful, not just on the ice but off the ice.&quot;⁣
⁣
P.K. Subban (@subbanator) has a message to share with the world. Watch the latest episode of #ReadyForChange now ⁣on @adidashockey",58k,396,0,0,0,0,0,0,0,1,1,0,0,0,0
"&quot;My dad told me that as a bi-racial female, you’re going to have to give 120% at all times just to have the same opportunity...It’s pretty cool to see people actually standing up and listening and saying that things aren’t right. We need to grow.&quot; ⁣
⁣
Head to @adidashockey to watch the next episode of #ReadyForChange and see why Sarah Nurse (@nursey16) is hopeful for the future of womens hockey.",64k,612,0,0,0,0,0,0,0,0,1,0,0,0,0
"&quot;Pressure busts pipes, so if the world keeps applying the pressure, then I believe we will be heard.&quot;⁣
⁣
2018 Skater of the Year Tyshawn Jones (@enwhytj) shows us that all voices are louder than one. Visit our link in bio to see why he keeps applying the pressure.⁣
⁣
#ReadyForChange",56k,625,0,0,0,0,0,0,0,0,1,0,1,0,0
"@domithiems search for his first major title fell just short three times before. ⁣
 
Today, the trophy is his. ⁣
 
Here’s to one down and no limit to what comes next.⁣

@adidastennis 
#ReadyForSport",85k,524,0,0,1,0,0,0,0,1,0,0,0,0,0
"“You don’t train every day to achieve what you know is in your reach. You train to achieve what is at the very edge of your limit”⁣
 ⁣
1 hour 5 minutes 34 seconds.⁣
Ready for a new era of world records⁣
@pereschepchirchirngeno breaks the women-only half-marathon world record in the all-new @adidasrunning adizero adios Pro.⁣
#ReadyForSport",67k,1417,0,0,1,0,0,0,1,1,1,0,0,0,1
Black Lives Matter.,135k,4914,0,0,0,0,0,0,0,0,0,0,0,0,0
These are the moments youll be remembered for. @fcbayern #UCL #ReadyForSport,46k,456,0,0,0,0,0,0,0,1,0,0,0,0,0
"Sport might not be the answer. But it is a symbol of optimism and hope. Impossible challenges must be faced and overcome, and our reward is joy. #ReadyForSport",66k,967,0,0,0,0,0,0,0,0,0,0,0,0,0
"Now that sport is back, we wont waste these chances. Our opportunities will come, and we will be ready. #ReadyForSport",51k,607,0,0,0,0,0,0,0,0,0,0,0,0,0
"“Were going to be taking action and making change in this world so its a better place when we leave it.&quot; ⁣
⁣
@patrickmahomes stood out to change the game, now hes standing up to change the world. ⁣
⁣
#ReadyForSport⁣",41k,352,0,0,1,0,0,0,0,0,0,0,0,0,0
"&quot;I believe the meaning of life is legacy. You either leave something or you take something, and Id rather leave something.⁣“⁣
⁣
Both on the court and off, @candaceparker is fighting for change in the world of sports.⁣⁣
⁣
#ReadyForSport",35k,265,0,0,1,0,0,0,0,1,0,0,0,0,0
"&quot;When I speak, I dont just speak for Donovan Mitchell. I speak for African Americans and minorities in general because I need to use my platform to address certain things that might not have those same voices.&quot;⁣
⁣
Donovan Mitchell (@spidadmitchell) is playing for something bigger.⁣
⁣
#ReadyForSport",36k,220,0,0,1,0,0,0,1,1,2,0,0,0,0
In life you either leave something or you take something. Its time to give it everything we’ve got. #ReadyForSport,40k,253,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pride is about coming together in joy, unity and solidarity - and now more than ever that spirit is needed. ⁣⁣
⁣ ⁣⁣
At the heart of the modern LGBTQ+ rights movement is the work of Black transgender and gender non-conforming activists during the Stonewall Riots. Today their fight continues not just for equal representation and rights, but for their lives. ⁣⁣
⁣ ⁣⁣
We understand that change happens when we work together and amplify each other, so with @AthleteAlly and @StonewallUK, we are celebrating the people from across our community. Swipe through to read their thoughts on what Pride represents for them and what it means to be an ally. ⁣⁣ ⁣⁣
⁣
Featuring: ⁣⁣
1. @kai_isaiah_jamal (they/them) ⁣⁣
2. @ashlynharris24 (she/her) ⁣⁣
3. @layshiac (she/her/they/them) 
4. @isaac.kim (they/them) ⁣⁣
5. @tarikcarroll (he/him) ⁣⁣
6. @gocharliem (she/her) ⁣⁣
7. Quinn Edlin (she/they) ⁣⁣
8. @tomdaley (he/him) ⁣⁣
9. Madonna Cacciatore (she/her) and Robin McWilliams (she/her)",73k,1576,0,0,0,0,0,0,0,2,4,1,0,0,0
"This is our commitment to the Black community, and the world. We can change, and we will. This is just the start.",179k,3152,0,0,0,0,0,0,0,0,0,0,0,0,0
Take action. Things won’t change unless we create that change.,224k,3401,0,0,0,0,0,0,0,0,0,0,0,0,0
"⏰ Ready to move? The #HOMETEAMHERO Challenge starts now. ⁣⁣ ⁣⁣
⁣
Inside, outside, wherever you are and whatever way you choose, dedicate your movement to our community heroes while following local safety guidelines.⁣⁣ ⁣⁣
⁣
We will donate $1 for every one hour collectively logged in adidas Training and Running (@adidasRuntastic) apps to the #COVID19Fund for @WHO, up to one million hours.⁣⁣ ⁣⁣⁣⁣⁣ ⁣⁣
⁣
🗓️ May 29 – June 7. Thats 240 hours. How many can you move for?⁣⁣
⁣
@UNFoundation",42k,524,0,0,0,0,0,1,0,1,2,0,0,0,0
"We’re teaming up with @allbirds to redefine the playbook on sustainability and co-create a performance shoe with the lowest carbon emissions, ever. Yes- ever. Because we can’t get to where we are going alone.",127k,1146,0,0,0,0,0,0,1,0,0,0,0,0,0
"Wear it. Wash it. Wear it again. ♻️⁣ ⁣⁣
Made to reuse, not resell. Our face cover is available* on adidas.com in the US and Europe now and coming to more places soon. ‼️ *Note that as we sell out in countries where it is available, we will continue to restock in the upcoming weeks.",471k,6100,0,0,1,0,1,0,0,0,0,0,0,0,0
"Ever wonder how we design training products for both elite and everyday athletes?⁣
⁣
This week’s Creator U Class is led by adidas Training Creative Director Jo Aberg, who discusses the foundations of product design.⁣
⁣
⏰ Takes just three and a half minutes to complete the lesson⁣
⁣
👀 Watch now on YouTube.com/adidas",32k,621,0,0,0,0,0,0,0,1,1,0,0,0,0
"“When I started swimming I don’t think I could ever picture myself getting there. I’m sure it was a dream but I never thought I’d make it to the Olympics.’”​⁣
⁣
🌎 Training in new surroundings​⁣
🏆 Getting back to competition​⁣
🎧 Playlists ​⁣
📝 Advice for the next gen​⁣
⁣
Listen to @garbimuguruza and @katieledecky discuss all things 🎾, 🏊 ♀ , their careers, and​ their idols.⁣
⁣
#hometeam",26k,570,1,0,0,0,0,0,1,1,0,0,0,0,1
"Join the #HOMETEAMHERO Challenge, the ultimate donation rally to give back to our frontline heroes who never stopped moving for us. ⁣⁣⁣
⁣ ⁣⁣⁣
Every active minute counts in the adidas Running and Training apps (@adidasruntastic) and select partner apps. We will donate $1 for every one hour collectively logged to the #COVID19Fund for @WHO, up to one million hours.⁣⁣ ⁣⁣⁣
⁣⁣
That’s one million hours together. One million hours dedicated to those who are working to keep us safe.⁣⁣⁣
⁣⁣⁣⁣
🗓 Starts May 29 ⁣⁣⁣
Learn more now at adidas.com/HOMETEAMHERO⁣⁣ ⁣⁣⁣
⁣
@UNFoundation",40k,862,0,0,0,0,0,2,0,0,3,0,0,0,0
"&quot;Since my childhood, I watched you play and had a poster in my room, I never would have thought I was going to have this conversation with you.&quot;​⁣⁣⁣
⁣⁣
📝 Life advice​⁣⁣⁣
🌎 Adapting to new surroundings​⁣⁣⁣
💁🏻 Being yourself​⁣⁣⁣
💫The future ​⁣⁣⁣
⁣⁣⁣
Listen to @kaka and @joaofelix79 discuss all things ⚽, their careers and life goals.⁣
⁣
#hometeam",31k,307,0,0,0,0,0,0,0,0,2,0,0,0,0
"Ever wondered why adidas collaborates with other brands and designers?​⁣
​⁣
This weeks Creator U Class is led by Design Director of adidas Statement Rafaella Barbey, who works on Ivy Park and shares insights on the design process.​⁣
​⁣
👀 Take Raffaellas class now by visiting YouTube.com/adidas​",32k,340,0,0,0,0,0,0,0,0,0,0,0,0,0
"Watch as @PaulPogba ⚽️ and @StellaMcCartney 🧥 bond through stories of their shared passions for fashion, innovation and giving back. ​⁣⁣
⁣⁣
#hometeam",28k,194,0,0,0,0,0,0,0,1,0,0,0,0,0
"As many of us were sidelined by COVID-19, we saw the real heroes jump to action – our essential healthcare workers on the frontline. ​⁣⁣
⁣
We thank those who risk their lives every day to keep us safe. ​⁣⁣
​⁣⁣
This is their story.​⁣⁣
​⁣⁣
#hometeam",37k,220,0,0,0,0,0,0,0,0,0,0,0,0,0
"Music influences sport and sport influences music. ⁣⁣ ​⁣
⁣
@Anitta 🎶 and @PauloDybala ⚽️ come together from across the world to catch up on this episode of The Huddle. #hometeam",32k,462,0,0,0,0,0,0,0,2,0,0,0,0,0
"We keep moving.⁣
So when our time comes, we will be ready.⁣
#hometeam",36k,204,0,0,0,0,0,0,0,0,0,0,0,0,0
"While the world waits… let’s remember, now is the time to keep moving, to pull together, to share skills, positivity and hope. We are the #hometeam.⁣
⁣
We will get through this together, and when that time comes, we will be ready.⁣",47k,439,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wondering how you can turn an idea in your head into something others can understand? ✍️​⁣
​⁣
This weeks Creator U Class is led by adidas Running Creative Director Sam Handy (@SamHandy), who gives insider tips on how to do just that and more.​⁣
​⁣
👀 Set aside just 9 minutes of your day and take Sams class now via our link in bio or by visiting YouTube.com/adidas",30k,325,0,0,0,0,0,0,0,0,1,0,0,0,0
"Watch as @juju officially welcomes @tuamaann_ to #teamadidas. ​⁣
​⁣
#hometeam",25k,226,0,0,0,0,0,0,0,1,0,0,0,0,0
"Looking for inside access to the creative minds from across the adidas collective? ​⁣
​⁣
Welcome to Creator U, a new YouTube series that will serve up inspo and insight for the #hometeam every Friday.​⁣
​⁣
First up, we have GM of YEEZY, Jon Wexler (@wex) sharing his take on collaborations, inspiration and his career. Hit our link in bio or head to youtube.com/adidas to watch the full episode.​⁣
​⁣
Class is now in session.",29k,259,0,0,0,0,0,0,0,2,1,1,0,0,0
"Today. Tomorrow. Together. ​⁣⁣⁣
Heres to the #hometeam: ⁣@leomessi, @stefanostsitsipas98, @damianlillard, @thejudge44, @erikotinhac, @artekk_11, @brookeclimbs, @femedeirostt,@ogata.yoshiyuki, @angustaavao, @marijevhunenstijn and @pamelaforster ⁣
💪⚽🧗‍♀🤳🏋️🧘‍♀️🏡",37k,208,0,0,0,0,0,0,0,7,2,0,0,0,0
"“The handles, the creativity, you’ve got all that.”⠀
⠀
Join @fchwpo and @tmac213 in The Huddle as they discuss their passion for basketball, keeping each other inspired and how they’re staying in the game from home.⠀
⠀
#hometeam",26k,191,0,0,0,0,0,0,0,2,0,0,0,0,1
"First we collaborated with @carbon to reimagine high-performance footwear. ⁣
⁣
Now, using the same material co-created for our 4D midsoles, we’ve teamed up to produce 3D-printed face shields to support our healthcare heroes.⁣
⁣
Thank you to the many people who are working hard to get us through this. When we come together, we are at our best. #hometeam",115k,822,0,0,0,0,0,0,0,0,0,0,0,0,0
"“A creative space isn’t only a physical space, it’s also a mental one.”​⁣
​⁣
Swipe to see more of adidas MakerLab Creator Eric Weiss (@ricwise) in his own creative space. #hometeam​",58k,364,0,0,0,0,0,0,0,2,0,0,0,0,1
"Break the tape on your own backyard marathon.​⁣
​⁣
@adidasRunners Captain Lee Ryan reimagined what it meant to run a marathon as he ran up and down and up and down his garden - 1,406.666 times to be exact - until he hit 26.2. ​⁣
​⁣
Follow @leemryan to see what he does next. #hometeam",62k,408,0,0,0,0,0,0,0,0,1,0,0,0,0
"@Nojo18 is making this a starting line for something new as he plays for the #hometeam. ⁣
⁣
Let’s work together and get creative. Join in now at our link in bio or by visiting adidas.com/hometeam",30k,1274,0,0,0,0,0,0,0,0,0,0,0,0,0
"@Ninja continues streaming, making content and spending time with his own #hometeam.​⁣
​⁣
Looking to have some fun and get creative at home? Sign up now at link in bio or head to adidas.com/hometeam",34k,292,0,0,0,0,0,0,0,1,0,0,0,0,0
"@MikaelaShiffrin is finding new ways to stay busy these days. 🎸🤸‍♀🧘‍♀​⁣
​⁣
If youre looking for ways to stay creative and fit, sign up to join the #hometeam at our link in bio or by heading to adidas.com/hometeam​",31k,144,0,0,0,0,0,0,0,0,0,0,0,0,0
