caption,n_likes_1000,n_comments,event,fac,gpe,law,loc,money,norp,org,person,product,work_of_art,personal_quote,quote
"“I want to prove the bar can always be raised higher.”

Through sheer grit and singular talent, @serenawilliams has transcended every obstacle in her path. From the public courts of Compton to the grandest stages of tennis, she has overcome defeat, injury, racism, sexism, and every naysayer in between. Her resilience is what makes her truly great.

Driven by an obsession to win, Serena holds a record 23 major titles and counting. She’s a legendary athlete, successful entrepreneur, and loving mother.

Serena Williams continues to write her own legacy. On her own time. On her own terms.",114k,4673,0,0,0,0,0,0,0,2,2,0,0,0,1
"Fear stings worse than any foil. 

@bebe_vio shows us all how to overcome with her continued bravery.

We become bolder when we Play New.",129k,5295,0,0,0,0,0,0,0,0,0,0,0,0,0
"In this tiny village in the Swiss alps, soccer reigns supreme. Would you play on the highest pitch in Europe? Tell us in the comments!",106k,2856,0,0,0,0,1,0,1,0,0,0,0,0,0
"Talk about home field advantage 🏔

In a tiny village 6,200 feet high in the Swiss Alps, with one bar, one hotel, one church and a few dozen stone roofed chalets, soccer reigns supreme. With Gspon’s 500-odd residents, this alpine community is centered not around sky slopes or hiking trails, but a pitch — in fact, the highest one in Europe. At this altitude, the visiting team is often gasping for breath while the locals enjoy an unusual home advantage as the game wears on. 

⚽ Where’s your favorite place to play? Tell us in the comments!

📷: @dominicnahr 
✍️: Kieran Dahl",416k,3156,0,0,0,0,1,0,0,0,2,0,0,0,0
"No more waiting. Let the @carririchardson_ show begin.

Sha’Carri laces up her spikes this weekend at the Prefontaine Classic in Eugene, Oregon. Throw some love for her in the comments.

🎥: @rodneyluthaking 
🎥: @mr_mosher",267k,18933,0,1,2,0,0,0,0,0,1,0,0,0,0
"“When I step on the court, I definitely want to stand out.”

@serenawilliams has been an innovator since day one. And while she was changing the world of tennis, she saw a need to change the world of design too. That’s why she partnered with us to create the Serena Williams Design Crew.

By championing diverse talent from all walks of life, Serena and her ten up-and-coming design teammates can be catalysts for change. Click the link in our bio to find out more about the program.",215k,4060,0,0,0,0,0,0,0,0,1,1,0,0,1
"“Kipchoge inspired me to be unstoppable.”

A graffiti artist in Nairobi 🎨
An avid runner in Berlin 👟
A mother of two in Las Vegas 👩👦👦

What do these people have in common? They’ve all been inspired by the world’s fastest marathoner, Eliud Kipchoge. After another historic victory, he’s pushing the definition of what it means to win by empowering others to push past their perceived limits—no matter the goal.🥇🏃🙌",182k,5574,0,0,3,0,0,0,0,0,1,0,0,0,1
"Home is where the game is. 

Indian Gymkhana Football Club bring friendship, excitement and competitiveness to every match. But behind this energy is a purpose: paving the way for a new era of football. Established in Osterley, West London in 1916, the team has been a hub for London’s second-generation Asian community for more than a century. 

Tag your favorite squad to play with in the comments below.",306k,4263,0,0,2,0,1,0,1,1,0,0,0,0,0
"Passing the game on to a new generation, one play at a time. 🏀
 
This court on the coast of Italy is the home of @tamtambasketball_official, a volunteer-led nonprofit offering local children from the migrant community a platform and program to hoop and grow. For this team, basketball is family, and the lifelong lessons learned here on the court are just as relevant off of it.
 
Just don’t expect any easy buckets out there. 
 
Meet the Tam Tam squad at the link in bio, and shout out your teammates in the comments below.

📹: @thibautgrevet captured before the lockdowns in 2019.",283k,3309,0,0,1,0,0,0,0,0,1,0,0,0,0
"Raising the bar at the highest level is what they do. They’ve done it consistently over 25 years. Now you’re out of excuses for not paying attention.

Congratulations to the USA Basketball Women’s National Team on bringing home the program’s 7th straight Olympic Gold Medal and continuing to represent the best of us.",411k,19408,0,0,0,0,0,0,0,1,0,0,1,0,0
"New team. Same dream.

@usabasketball silences the doubters by letting their game speak for itself.

When we add to history, we Play New.",136k,1438,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Super 5 League is a 5-a-side football community for women and non-binary people in Hackney, East London. 

In a sport that’s been difficult for them and others to access at times, the league provides an inclusive space for football and friendship – now 56 teams strong across 7 divisions.

Their sense of creativity and flair is clear on the pitch, both in their brightly coloured kits and the way the players communicate with each-other. “The league feels like a space that I should be in. I feel closer to myself than when Im anywhere else in my life.”

How do you express yourself on the pitch? 

📷 by @katebones",238k,1934,0,0,2,0,0,0,0,2,0,0,0,0,0
"“When you win, you get the reward. On this team, we’ve won, and we’re taken for granted.” — @dianataurasi 

You should know this team. Undefeated since ’96. Six straight Gold Medals. W after W, the USA Basketball Women’s National Team has never stopped raising the bar for the rest of the world. Meet the women who conquer injustice at home and crush their foes abroad. Meet your new heroes. They’ve been here all along. 

Tag the people who push you to raise your game.",109k,1770,0,0,0,0,0,0,0,5,0,0,0,1,0
"🤙 “YEAH BOY!!” 🤙

That’s the amped-up refrain you hear when members of the Tarkwa Bay Surf Club crush a wave. The big dream for this tight-knit community of shredders just outside of Lagos City, Nigeria? Qualifying to represent their country on the world stage in 2024. 

Follow their journey to go pro at @nigeria_surfing and tag who gets you hyped in the comments.

📸: @olihillyer_riley captured before the lockdowns in 2020.",393k,3821,0,0,1,0,0,0,0,1,0,0,0,0,1
"The colors are richer, the sounds are louder and the energy is off the chain. This is road tennis in Barbados.",97k,1780,0,0,1,0,0,0,0,0,0,0,0,0,0
"On any given day, on any flat road in Barbados, you’ll find chalk outlining a court, plywood standing in as a net, and a stripped tennis ball flying back and forth between two players. This is road tennis.

Adopted from the British game of lawn tennis and made its own on the streets, the sport as become integral to the Barbadian culture. Today, permanent courts have popped up all over the island to accommodate the emerging pro circuit. With an expanding roster of players who are determined to grow their sport, it may soon be played all over the world.

What sport is vital to your community? Share below.

✍️: @daphneewingchow 
📸: @aniyaemtage 
🎨: @davidlinchen",287k,2526,0,0,0,0,0,0,2,1,0,0,0,0,0
The Shores of Dakar are home to a different type of beach break…,131k,2840,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breakdancing may seem like an unexpected beach sport, but in the West African city of Dakar, locals come to the shore every day to watch this crew perform.

Yoff Beach is a destination for sports, and when the Power Crew stepped on the scene in 2013, they found that uneven sand and shallow waters helped maximize their agility and strength. But these seven dancers aren’t just there to level-up their street performance—they’re hoping to show audiences they can break, too. And with the sport’s deep roots in African culture, theres no better stage for it than the stunning landscape of the Senegalese city’s shoreline.

Tell us your favorite place to train outdoors.

✍️: @kimiyasho
📸: @johngingerwessels",277k,2521,0,0,1,0,0,0,2,0,1,1,0,0,0
"“I’m a Black woman and I love everything that I am. And I won’t apologize for that. This is my platform to help the next Black girl, so she doesn’t get swept under the rug.” 💪🏀🔥🙌

It still seems unreal to @aja22wilson that she’s accomplished so much in so little time. But legacies like A’ja’s wait for nobody. While her greatness on the court wins awards and gets statues built in her honor, A’ja’s commitment to young girls who look up to her is the New Fierce. 

“This generation is so bold, so tough, so real, and so strong. Get in your bag with this one and take over.” 

Tag the women who are the New Fierce in your life. 

🎥: @rashadfloyd
📷: @stephaniemeiling
📷: @54ghosts",184k,4254,0,0,0,0,1,0,0,0,0,0,0,0,1
"“You struggle to change things. Or things will never change.” 👊 

Colombian national team captain @03nataliagaitan believes in a new kind of football. One that’s democratic and respects all genders. Even as a young girl playing, Natalia spoke up when she witnessed inequalities between the men’s and women’s game. People tried to silence her. She just got louder. 💥 

Tag the people in your life who are making good trouble.",194k,3811,0,0,1,0,0,0,2,0,0,0,0,0,1
"In Baltimore, dirt bikes are a way of life. 🏍 💥 But in a city where street riding is illegal, routine crackdowns affect the teens who are at the heart and soul of this sport.

Baltimore native Brittany Young (@cntknockbhustle) saw more in the sport and these young people. She saw a gateway to the STEM curriculum. So she started B-360 (@b360baltimore), a non-profit that educates students through the tinkering and riding they’re already doing, but in a safe environment.

What are some ways you can change your community through sport? Tell us in the comments.

📸 @cassandragiraldo captured in accordance with local health and COVID guidelines.",360k,4354,0,0,1,0,0,0,0,2,1,1,0,0,0
"What if a woman ran a marathon on Mars? What if @realshellyannfp became the first woman to run the 100m in under 10 seconds🏃🏾‍♀️💨? What if wheelchair tennis legend @diededegroot launched her own video game 🎮? What if WNBA MVP @aja22wilson convinced world leaders to declare sport a human right ✍️? 

What if we respected athletes’ mental health as much as their performance?

Tomorrow could be the Best Day Ever—if we can just imagine it ✨. What would be your Best Day Ever in sports? Share in the comments.

🔈: @lupitanyongo",254k,77643,1,0,0,0,1,0,0,1,0,0,0,0,0
"“When two people are just living their true life, it can give so many other people confidence to just really live their true life.”
 
@mrapinoe and @sbird10 define what it means to be the New Victors. While Megan and Sue have defined greatness and longevity in their athletic careers, their legacies go far beyond the court or the pitch. Sit in on their conversation about how pushing themselves in sport changed them, and the impact their own relationship has had in helping form the next generation of New Victors. 
 
Throw some love to the G.O.A.T.S. in your life in the comments.
 
🎥: @aimeekhoffman
🎥: @basilfauchier
📷: @phiawilson
📷: @evie___lane",176k,5031,0,0,0,0,0,0,0,6,1,0,0,0,1
"Can you say squad goals? The Harlem Honeys &amp; Bears, a group of self-proclaimed “old-timers,” has used the power of their tight-knit synchronized swimming team to challenge adversity, face fears, overcome grief, and teach Black youth in Harlem how to swim. And the coolest part: They manage to have a serious amount of fun doing it.

💦 Dive into their story via the link in bio.  📹 by @changeme2012 and @keenanmac
📷 by @flongala ✍️ by @roxannefequiere",398k,14267,0,0,0,0,2,0,0,3,0,0,0,0,0
"Play a round with @carlosbrowngolf, and you’ll learn the true meaning of personal strength. ⛳️

When a devastating injury forced Carlos’ leg to be amputated, some assumed his golfing days were over. Clearly, they didn’t know Carlos. 

Today, as an award-winning golf pro, he’s teaching his students (and us all) to embrace who we are and face our obstacles—head on.
 
Discover Carlos’ story at the link in bio, and tag your role model in the comments below.

📹 by @shernnotsean
📸 by @durzt",274k,6766,0,0,0,0,0,0,1,2,3,0,0,0,0
"One flag can’t represent us all. So we’re telling the stories of not one, but the multiple communities on a journey to self-discovery. Because everyone deserves to find freedom in movement as we work towards creating a future where everyone has a place to play.

Meet @bretmanrock, @gia.parr, and Shiho Shimoyamada.",213k,6499,0,0,0,0,0,0,0,0,2,0,0,0,0
"“I was quite shy as a child. Football was a big opportunity for me to express myself. Thats what I want for the next generation.”

From grassroots football to literacy programs to free school meals, @marcusrashford wants to do more than just play great football. Shaped by his experiences growing up, he’s using his platform to have a greater impact on his community—and inspiring a new generation of leaders in sport along the way ⚽💫🏅

📹 @emily_mcdon
📹 @rawtape
📷 @sirius.film
📷 @tomckean",220k,5460,0,0,2,0,0,0,1,2,0,0,0,0,1
"A spiritual practice and running routine in perfect balance. 🤝

As a Buddhist monk and community leader, Yukai Shimizu’s runs through the steep mountains of Nagano, Japan are a time for reflection, focus, and clarity. They not only center his mind and body; they help him maintain his deep connection to the natural world. 

“For me as a monk, to run is to live in the moment. That itself is a teaching of Buddhism, and it has a positive effect on me.” 
 
Link in bio for Yukai’s story. What type of movement feels like meditation to you?

📹 by @mackshepp
📷 by @willgoodan",275k,2963,0,0,2,0,0,0,1,3,1,0,0,0,0
"Bet you haven’t seen flamenco like this before 💃

¡Viva! is a flamenco troupe founded by @manuellinan that challenges the traditional gender roles of this centuries-old art form: All seven members of the crew perform the dance in full drag. And the people can’t get enough... ¡Viva! has sold out shows across Spain and the world, leaving audiences like 🤯

Drop flowers in the comments for the performers 🌹

 📸: Captured before the lockdowns in 2020.",475k,9612,0,0,1,0,0,0,0,1,0,0,0,0,0
"At 16,000 feet, the folks who doubted you look pretty small 🔍

The @cholitasescaladoras, an all-female collective of Indigenous Bolivian women, is proving there’s a big difference between what’s expected of you—and what you’re capable of. The crew recently summited Mt. Aconcagua (22,841 feet!) in Argentina and have their eyes on Everest. With every expedition, they are smashing cultural stigmas and stepping into a more equitable future.

Tag the women who inspire you most in the comments.

📸: @toddantonyphoto captured before the lockdowns in 2020.",442k,6258,0,0,1,0,2,0,1,1,1,0,0,0,0
"“Don’t let anyone tell you what you can and can’t accomplish.”

WNBA baller and former college superstar @sabrina_i doesn’t just want to be a legendary basketball player. She wants to be the greatest. Period. Her love of the game fuels her drive to smash records and expectations. Now, she’s challenging young players to keep shaking it up—until greatness isn’t divided by gender. 🏀⛹️‍♀️🔥

Who in your life needs a little of Sabrina’s fire? Tag them below.

📹📷 @danaboulos
✏️ @jordanligons",227k,3368,0,0,0,0,0,0,0,1,1,0,0,0,1
"“Stop chasing perfection because there’s absolutely no point. It doesn’t exist.” 🎯
 
World Champion sprinter @dinaashersmith believes you shouldn’t hide from your body, you should celebrate it. And that’s why she’s emerging as a new kind of icon—one who is unafraid to drop the truth bombs people need to hear so girls can be unapologetic and confident in whatever sport they try. (THANK 👏 YOU 👏  DINA 👏.)
 
Who in your life needs to hear Dina’s story? Tag them below.
 
✏️ @flwn__ 
📷 📹 @ruthossaistudio
📷 @sophographylondon",177k,3278,0,0,2,0,0,0,0,1,0,0,0,0,1
"@sabrina_i is unstoppable in her basketball zone. Wbu? 🤪

🎥 @marcus.chi @thomassimondp",148k,2152,0,0,0,0,0,0,0,2,1,0,0,0,0
"Focused. Grounded. Go time. 👀

Whether it’s game-time, recovery time, or show-up-and-show-out at practice time, @sabrina_i stays ready. Just saying: we wouldn’t want to be the opposing defense.

What helps you get into your zone? Drop a comment.

🎥: @marcus.chi @thomassimondp",144k,1313,0,0,0,0,0,0,0,2,1,0,0,0,0
"Fail so hard, you can’t help but smile. Then do it again. 

Because trying something youve never done before is how you Play New. And thats always a win. 🧘 🏌️ 🏄 🤸

Join us. Link in bio.",291k,4539,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meet Shove and her posse of roller skaters who are bringing pride, skills and body-posi vibes to Long Beach. Together they’ve built a radical wonderland of sport for all people and redefined what it means to be an athlete.

Follow her skate journey @fat_girl_has_moxi

📸: @asdavidelliott and 🎥: @erynncpatrick",205k,16203,0,0,1,0,0,0,0,3,1,0,0,0,0
"This crew of radical roller skaters are finding their truest selves on 8 wheels and redefining what it means to be an athlete as they shred the streets of Long Beach.

Learn how to get involved with the squad. Link in bio.

📸: @asdavidelliott and 🎥: @erynncpatrick",144k,9618,0,0,1,0,0,0,1,2,0,0,0,0,0
"This fierce squad is reclaiming roller-skating for all bodies and genders. 🛼

For this tight-knit crew of skaters, rolling out is how they shed stress, get creative and build a body-posi, gender-inclusive family. When they’re not rexing, dipping and spinning on a rainbow-adorned backyard ramp, they’re online — spreading confidence, community, and know-how so that skaters around the world can Play New. Through video calls and social media, they’re helping a new generation of skaters take on the sport and make it their own. 💪 

Learn how to get involved with the squad. Link in bio. 

🎥: @erynncpatrick and 📸: @asdavidelliott 
Captured in accordance w/COVID guidelines.",320k,6016,0,0,0,0,0,0,0,2,0,0,0,0,0
"A sisterhood of surfers in Hainan, China, paddle against the tides of tradition. 🏄‍♀️

Surfing inspires them to lead a simple and spirited life devoted to the sport they love. They’ve found a small slice of paradise on the South China Sea where they can Play New and empower others to do the same. 

What sport makes you feel free? Share below. 

📸 @yuyang_liu_ captured before the lockdowns in 2020.",482k,17624,0,0,2,0,1,0,0,0,0,0,0,0,0
"Come for the boxing, stay for the bonding 🥊 

At this women-focused gym in Shanghai, boxers are knocking down stereotypes and helping each other find their inner strength in and out of the ring. By owning their own power, they are challenging society’s expectations, creating a more inclusive boxing culture in their city, and setting the stage for others like them to Play New.

Who would you step into the ring for? Tag them below. 

📸 @luoyangggg captured before the lockdowns in 2020.",337k,4750,0,0,1,0,0,0,0,1,0,0,0,0,0
"To every mother, everywhere: you are the toughest athlete.",1m,20018,0,0,0,0,0,0,0,0,0,0,0,0,0
"Momtaz Yoga Center in Kabul uses yoga to practice self care. 🧘

Owner and instructor @fakhriamomtaz is dedicated to creating a place for women to work out together in Kabul, something that did not exist for her mothers generation. But it’s about more than just movement, it’s where Afghan women come to deepen friendships, nourish their bodies and Play New in a safe space of their own. 

Where do you go for sanctuary? Share below.

📸 @kianahayeri captured in accordance with local health guidelines.",353k,3016,0,0,2,0,0,0,1,2,1,0,0,0,0
"Black women are rarely recognized for the hard work they put in. It’s not just magic, they are the real thing. 

Join us in celebrating their hard work and help level the playing field. #WePlayReal 

🎙:@domfishback",532k,8647,0,0,0,0,0,1,0,0,0,0,0,0,0
"“One of the greatest things a person can do is inspire others.”

From a quiet winner to a vocal champion, the effects of @naomiosaka’s transformation can be felt far beyond the tennis court.

Congrats on major title number 4 to the one raising more than her game.",623k,5570,0,0,0,0,0,0,0,0,2,0,0,0,1
"Our hearts are with our Asian community. We stand united with our partners to create a more inclusive future.

For more information, click the link in bio. #StopAsianHate",354k,8316,0,0,0,0,0,0,1,0,0,0,0,0,0
"At first, they had to convince their families to let them play. 🏀 Now they shoot hoops on a court surrounded by cheering fans.👏

This Afghan basketball squad from Kabul refuses to let any obstacle stand in their way. Check them out as they inspire the next generation of wheelchair ballers around the world. 

Share this post with the top 5 ballers in your life.

📸 @eliseblchrd and captured before the lockdowns in 2020.",379k,5511,0,0,1,0,0,0,1,0,0,1,0,0,0
"Knowing what to do is one thing, knowing why you do it is everything. Click link in bio to join us for guidance to reach your goals. 

What’s your why? Drop a comment below.👇",305k,8234,0,0,0,0,0,0,0,0,0,0,0,0,0
"How far would you travel for the game you love?

For the bush footy team from Lajamanu, it’s hundreds of kilometers across some of the hottest deserts on earth in Australia. 

Run-ins with the local authorities? ✅
Danger of being stranded in the middle of nowhere? ✅
Worth it for the game you love? 💯 

Share the wildest experience you’ve had on the way to a game. 

📸 @mattabbottphoto and captured before the lockdowns in 2020.",325k,14480,0,0,2,0,0,0,0,0,2,0,0,0,0
"“I remember watching all these athletes repping Nike — each doing the unthinkable — and how inspiring it was. I always felt like there was an opportunity for Nike to embrace an entertainer the same way they had athletes.”
⠀
We are excited to welcome @champagnepapi to our family of athletes and bring our NOCTA partnership to life.
⠀
Hit the link in bio to see more of Drakes thoughts on the team up.",545k,3697,0,0,0,0,1,0,1,2,0,0,0,0,1
"Opportunity 🤝 possibility.
⠀
@castersemenya800m started the @masai_ac because most kids from her town don’t ever get a shot at the Olympics... and that needed to change.
⠀
Stride by stride, the future of sport is hot on her heels. ⚡
⠀
🎥: @meghan.daniels @willie_nel_sasc",265k,1851,1,0,1,0,0,0,0,0,0,0,0,0,0
"“You more or less have to get out of the way and let women lead”.

After witnessing the pay disparity facing female basketball players earlier this year, @kyrieirving launched the “Kai Empowerment Initiative” which provided financial support for WNBA players who sat out the season for health and/or advocacy reasons. 

He talked to his sister @asiairving about his life-long commitment to fight for gender equality.
⠀
What’s one cause that’s motivating you right now? Drop a comment 👇",173k,2007,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ballet + Jazz + Hip-Hop Majorettes = Compton Divas battle squad 💅🏿

This 15-girl strong “battle squad” brings the heat. From krumping to balletic extensions, one thing is sure: the @divasofcompton speak the language of movement, and their passion for dance fuels cheering crowds far and wide. We can hear the stands going wild from here.

Tag your favorite dance crews below.

📸@nico_therin captured before the lockdowns in 2020.",207k,1838,0,0,0,0,0,0,0,2,0,0,0,0,0
"“There is hope for many other Ingrids to be part of the dance world.&quot;
⠀
@IngridSilva founded @BlacksInBallet to uplift Black dancers in the white-centric ballet world. Growing up in Brazil, she didn’t have role models in professional ballet that looked like her. So, she became what she never had.
⠀
Follow @BlacksInBallet to see how Ingrid’s setting the stage for the future.
⠀
🎥: @dayday.studio @bennncareyyy",437k,2763,0,0,1,0,0,0,0,0,1,0,0,0,0
"“There’s something so magical and liberating about being in and near the water. Every woman deserves the right to experience that feeling.”
⠀
@manirostom we couldn’t agree more. 
⠀
That’s why we launched the Victory Swim Collection. A range of swimwear for modest women, so no matter their beliefs or values, not a single one of them has to leave the water anymore.
 ⠀
#YouCantStopUs #VictorySwim
 ⠀
🎥: @saradunlop and @dominicleungcuts",219k,3178,0,0,0,0,0,1,0,3,0,0,0,0,1
"@kingjames has been the people’s champ ever since he stole the spotlight as a teen. But he’s also a champion of the people, using his platform to ensure all the voices in his community are heard and counted. 👑
⠀
“It’s about all of us looking in the mirror and saying what can we do better to help change?“ LeBron knows that change doesn’t happen overnight, so his fight for representation goes way beyond the November US election. He’s got big plans, but if anyone can pull them off, it’s King James. 
⠀
Visit the link in our bio for information on voting 🗳️",161k,1608,0,0,1,0,0,0,0,0,1,0,0,0,0
"You dont need to be a star to have a voice. #YouCantStopOurVoice
⠀
Click the link in bio to learn more.",324k,2546,0,0,0,0,0,0,0,0,0,0,0,0,0
"@marcusrashford has earned a nod from the Queen and raised £20 million. The forward for England’s National team is continuing his campaign to end child food poverty in the UK. 👏
⠀
“I think if we do it right we can change what the future looks like.” By rallying both the government and the food industry together, Marcus is using his platform to ensure that all school kids have access to meals. Give him a follow to watch how he makes history, both on the pitch and in schools.
⠀
In this series, we’re highlighting exceptional athletes like Marcus who fight the good fight for what they believe in.
⠀
🎥: @joshblaaberg and @joelhoneywell",154k,1094,0,0,2,0,0,0,0,5,1,0,0,0,0
"“The girls I coach look up to me. I always tell them, ‘Do your homework, get good grades. And remember, always stay in sports.’”
⠀
From coaching the local girls team in North London to refereeing FA football matches, this is the energy @jawahir_roble (lovingly known as JJ) always brings to the pitch.
⠀
JJ is the UK’s first hijab-wearing, female referee. In our new series, we’ll spotlight inspiring change-makers like her and all of the significant work they do for their communities.
⠀
Click the link in our bio to learn more about her story. 📸 @ronanksm",354k,2509,0,0,1,0,1,0,0,1,0,0,0,0,1
"When they say there’s no way, show them one.  
⠀
Faced with an unimaginable choice between giving up what she was born to do, or changing who she was born to be, @castersemenya800m, has instead chosen to continue her fight to be herself in the sport she loves. 🙌
⠀
#YouCantStopUs",277k,11806,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nothing can stop what we can do together. You can’t stop sport. Because #YouCantStopUs.
⠀ 
Join us. Link in bio.",927k,14605,0,0,0,0,0,0,0,0,0,0,0,0,0
"We will continue to stand up for equality and work to break down barriers for athletes* all over the world. We will do and invest more to uphold longstanding commitment in supporting the Black community and partnering with world-class organizations dedicated to ensuring racial equality, social justice, and greater access to education. ⠀
⠀
For more information, please click the link in the bio.",569k,15887,0,0,0,0,0,0,0,0,0,0,0,0,0
"Let’s all be part of the change. ⠀
⠀
#UntilWeAllWin",5m,40782,0,0,0,0,0,0,0,0,0,0,0,0,0
"Today, were not playing for a trophy. Were playing for something much bigger. #PlayForTheWorld",639k,6844,0,0,0,0,0,0,0,0,0,0,0,0,0
"Now more than ever, we are one team.⠀
#playinside #playfortheworld",733k,8052,0,0,0,0,0,0,0,0,0,0,0,0,0
"With love, Your Nike Family",751k,5472,0,0,0,0,0,0,0,0,0,0,0,0,0
"⠀
⠀
“I think it is really important for black women to see themselves in others. We need to start sharing our stories more. We need to find ways to support each other, talk about hair and running because my gosh it’s hard. And also celebrate each other.” - @j_nesi
⠀
The final episode of the Common Thread series with Uninterrupted highlights those who relentlessly go forward together, from the track to the streets. Celebrating the power of sport to create community, inclusivity and sisterhood, athletes @vashtizzle, Jasmine Nesi of @rungrlco, and @sahraisha of @asra.club emphasize how our strides are united, moving through a marathon of collective progress. #BHM #UntilWeAllWin
⠀
🗣️: Vashti Cunningham
🎥: @childotu",177k,2617,0,0,0,0,0,0,0,4,2,0,0,1,0
"They wanted you to smile more.
They wanted you to be more polite.
They wanted you to scream a little softer.
They wanted you to be less aggressive when you won.
They wanted you to walk away when you made mistakes.
But instead of just becoming the player the game wanted?
You became the player it needed.",767k,4778,0,0,0,0,0,0,0,0,0,0,0,0,0
"⠀
⠀
(sound on)",394k,3122,0,0,0,0,0,0,0,0,0,0,0,0,0
